Year,Round,Abbreviation,Position,GridPosition,Target,log_grid_pos,driver_win_rate,driver_avg_pos,team_avg_pos,driver_recent_avg_pos,driver_wet_avg_pos,track_avg_pos,track_avg_sc_laps,track_rain_prob,grid_team_interaction,driver_hot_form,teammate_diff,pos_gain_avg,Event_encoded,CircuitType_encoded
2019,2,MAG,13,6,7,1.9459101490553132,0.0,6.0,12.0,6.0,20.0,20.0,0.0,0.0,23.350921788663758,6.0,-6.0,1.0,5,0
2019,2,STR,14,18,-4,2.9444389791664403,0.0,9.0,11.0,9.0,20.0,20.0,0.0,0.0,32.38882877083084,9.0,-2.0,7.0,5,0
2019,2,RUS,15,19,-4,2.995732273553991,0.0,16.0,16.5,16.0,20.0,20.0,0.0,0.0,49.42958251364085,16.0,-0.5,3.0,5,0
2019,2,KUB,16,20,-4,3.044522437723423,0.0,17.0,16.5,17.0,20.0,20.0,0.0,0.0,50.23462022243648,17.0,0.5,3.0,5,0
2019,2,HUL,17,17,0,2.8903717578961645,0.0,7.0,13.0,7.0,20.0,20.0,0.0,0.0,37.57483285265014,7.0,-6.0,4.0,5,0
2019,2,RIC,18,10,8,2.3978952727983707,0.0,19.0,13.0,19.0,20.0,20.0,0.0,0.0,31.17263854637882,19.0,6.0,-7.0,5,0
2019,2,SAI,19,7,12,2.0794415416798357,0.0,20.0,16.0,20.0,20.0,20.0,0.0,0.0,33.27106466687737,20.0,4.0,-2.0,5,0
2019,2,GRO,20,11,9,2.4849066497880004,0.0,18.0,12.0,18.0,20.0,20.0,0.0,0.0,29.818879797456006,18.0,6.0,-12.0,5,0
2019,3,HAM,1,2,-1,1.0986122886681098,0.5,1.5,1.5,1.5,20.0,20.0,0.0,0.0,1.6479184330021646,1.5,0.0,0.5,10,0
2019,3,BOT,2,1,1,0.6931471805599453,0.5,1.5,1.5,1.5,20.0,20.0,0.0,0.0,1.0397207708399179,1.5,0.0,1.5,10,0
2019,3,VET,3,3,0,1.3862943611198906,0.0,4.5,4.25,4.5,20.0,20.0,0.0,0.0,5.891751034759535,4.5,0.25,-2.0,10,0
2019,3,VER,4,5,-1,1.791759469228055,0.0,3.5,6.5,3.5,20.0,20.0,0.0,0.0,11.646436549982358,3.5,-3.0,1.0,10,0
2019,3,LEC,5,4,1,1.6094379124341003,0.0,4.0,4.25,4.0,20.0,20.0,0.0,0.0,6.840111127844926,4.0,-0.25,-1.0,10,0
